name,version,ecosystem,license_declared,license_resolved,description,risk_classification,depended_on_by
serde,1.0.228,Rust,NOASSERTION,MIT OR Apache-2.0,Serialization/deserialization framework for Rust,PERMISSIVE - OK,469
log,0.4.29,Rust,NOASSERTION,MIT OR Apache-2.0,Lightweight logging facade for Rust,PERMISSIVE - OK,257
serde_json,1.0.149,Rust,NOASSERTION,MIT OR Apache-2.0,JSON serialization/deserialization via serde,PERMISSIVE - OK,183
smallvec,1.15.1,Rust,NOASSERTION,MIT OR Apache-2.0,Stack-allocated vector that spills to heap,PERMISSIVE - OK,181
anyhow,1.0.101,Rust,NOASSERTION,MIT OR Apache-2.0,Flexible error handling with context,PERMISSIVE - OK,176
rand_core,0.6.4,Rust,NOASSERTION,MIT OR Apache-2.0,Core traits for random number generation,PERMISSIVE - OK,168
wasmparser,0.244.0,Rust,NOASSERTION,Apache-2.0 WITH LLVM-exception,WebAssembly binary format parser,PERMISSIVE - OK,161
id-arena,2.3.0,Rust,NOASSERTION,MIT OR Apache-2.0,Arena allocator with typed IDs,PERMISSIVE - OK,159
leb128fmt,0.1.0,Rust,NOASSERTION,Apache-2.0 WITH LLVM-exception,LEB128 variable-length integer encoding,PERMISSIVE - OK,159
wasm-encoder,0.244.0,Rust,NOASSERTION,Apache-2.0 WITH LLVM-exception,WebAssembly binary format encoder,PERMISSIVE - OK,158
wit-parser,0.244.0,Rust,NOASSERTION,Apache-2.0 WITH LLVM-exception,WIT (WebAssembly Interface Type) parser,PERMISSIVE - OK,158
wasm-metadata,0.244.0,Rust,NOASSERTION,Apache-2.0 WITH LLVM-exception,WebAssembly module metadata reader/writer,PERMISSIVE - OK,157
wit-bindgen-core,0.51.0,Rust,NOASSERTION,Apache-2.0 WITH LLVM-exception,Core library for WIT binding generation,PERMISSIVE - OK,156
wit-component,0.244.0,Rust,NOASSERTION,Apache-2.0 WITH LLVM-exception,WebAssembly component model tooling,PERMISSIVE - OK,156
wit-bindgen-rust,0.51.0,Rust,NOASSERTION,Apache-2.0 WITH LLVM-exception,Rust binding generator for WIT,PERMISSIVE - OK,155
wit-bindgen-rust-macro,0.51.0,Rust,NOASSERTION,Apache-2.0 WITH LLVM-exception,Proc-macro for WIT Rust bindings,PERMISSIVE - OK,154
wit-bindgen,0.51.0,Rust,NOASSERTION,Apache-2.0 WITH LLVM-exception,Language binding generator for WIT,PERMISSIVE - OK,153
bytes,1.11.1,Rust,NOASSERTION,MIT,Efficient byte buffer for network programming,PERMISSIVE - OK,151
r-efi,5.3.0,Rust,NOASSERTION,MIT OR Apache-2.0 OR LGPL-2.1+,UEFI reference definitions for Rust,WEAK COPYLEFT (LGPL) - OK if dynamically linked,151
wasip2,1.0.2+wasi-0.2.9,Rust,NOASSERTION,Apache-2.0 WITH LLVM-exception,WASI Preview 2 API bindings,PERMISSIVE - OK,151
find-msvc-tools,0.1.9,Rust,NOASSERTION,MIT,Locates MSVC build tools on Windows,PERMISSIVE - OK,150
zerocopy-derive,0.8.39,Rust,NOASSERTION,BSD-2-Clause OR MIT OR Apache-2.0,Derive macros for zero-copy parsing,PERMISSIVE - OK,132
zerocopy,0.8.39,Rust,NOASSERTION,BSD-2-Clause OR MIT OR Apache-2.0,Zero-copy parsing and serialization,PERMISSIVE - OK,129
socket2,0.6.2,Rust,NOASSERTION,MIT OR Apache-2.0,Cross-platform low-level socket API,PERMISSIVE - OK,112
libm,0.2.16,Rust,NOASSERTION,MIT OR Apache-2.0,Pure Rust math library (libm port),PERMISSIVE - OK,110
redox_syscall,0.5.18,Rust,NOASSERTION,MIT,Redox OS system call interface,PERMISSIVE - OK,109
zeroize,1.8.2,Rust,NOASSERTION,MIT OR Apache-2.0,Securely zeroes memory on drop,PERMISSIVE - OK,105
rand_chacha,0.9.0,Rust,NOASSERTION,MIT OR Apache-2.0,ChaCha-based cryptographic RNG,PERMISSIVE - OK,98
zeroize_derive,1.4.3,Rust,NOASSERTION,MIT OR Apache-2.0,Derive macro for secure memory zeroing,PERMISSIVE - OK,97
rand,0.9.2,Rust,NOASSERTION,MIT OR Apache-2.0,Random number generation library,PERMISSIVE - OK,96
num-traits,0.2.19,Rust,NOASSERTION,MIT OR Apache-2.0,Numeric traits for generic math,PERMISSIVE - OK,95
typenum,1.19.0,Rust,NOASSERTION,MIT OR Apache-2.0,Type-level numbers for compile-time computation,PERMISSIVE - OK,92
ppv-lite86,0.2.21,Rust,NOASSERTION,MIT OR Apache-2.0,SIMD intrinsics abstraction layer,PERMISSIVE - OK,90
synstructure,0.13.2,Rust,NOASSERTION,MIT,Helper for writing custom derive macros,PERMISSIVE - OK,89
parking_lot,0.12.5,Rust,NOASSERTION,MIT OR Apache-2.0,High-performance synchronization primitives,PERMISSIVE - OK,88
stable_deref_trait,1.2.1,Rust,NOASSERTION,MIT OR Apache-2.0,Trait for stable pointer dereferencing,PERMISSIVE - OK,87
thiserror-impl,1.0.69,Rust,NOASSERTION,MIT OR Apache-2.0,Proc-macro impl for thiserror,PERMISSIVE - OK,86
thiserror,1.0.69,Rust,NOASSERTION,MIT OR Apache-2.0,Derive macro for std::error::Error,PERMISSIVE - OK,84
generic-array,0.14.7,Rust,NOASSERTION,MIT,Generic array types with const generics,PERMISSIVE - OK,83
subtle,2.6.1,Rust,NOASSERTION,BSD-3-Clause,Constant-time cryptographic operations,PERMISSIVE - OK,79
crypto-common,0.1.7,Rust,NOASSERTION,MIT OR Apache-2.0,Common traits for cryptographic algorithms,PERMISSIVE - OK,78
futures-util,0.3.31,Rust,NOASSERTION,MIT OR Apache-2.0,Utilities for working with futures/async,PERMISSIVE - OK,76
regex-syntax,0.8.9,Rust,NOASSERTION,MIT OR Apache-2.0,Regular expression parser,PERMISSIVE - OK,76
mio,1.1.1,Rust,NOASSERTION,MIT,Low-level non-blocking I/O library,PERMISSIVE - OK,75
zerofrom-derive,0.1.6,Rust,NOASSERTION,Unicode-3.0,Derive for zero-copy deserialization (ICU4X),PERMISSIVE - OK,75
displaydoc,0.2.5,Rust,NOASSERTION,MIT OR Apache-2.0,Derive Display via doc comments,PERMISSIVE - OK,74
winapi-i686-pc-windows-gnu,0.4.0,Rust,NOASSERTION,MIT OR Apache-2.0,Import libraries for Windows i686-gnu,PERMISSIVE - OK,74
winapi-x86_64-pc-windows-gnu,0.4.0,Rust,NOASSERTION,MIT OR Apache-2.0,Import libraries for Windows x86_64-gnu,PERMISSIVE - OK,74
winapi,0.3.9,Rust,NOASSERTION,MIT OR Apache-2.0,Raw FFI bindings to Windows APIs,PERMISSIVE - OK,73
yoke-derive,0.8.1,Rust,NOASSERTION,Unicode-3.0,Derive macro for zero-copy data structures (ICU4X),PERMISSIVE - OK,73
zerofrom,0.1.6,Rust,NOASSERTION,Unicode-3.0,Zero-copy cloning trait (ICU4X),PERMISSIVE - OK,73
regex-automata,0.4.14,Rust,NOASSERTION,MIT OR Apache-2.0,Low-level regex automata engine,PERMISSIVE - OK,72
signal-hook-registry,1.4.8,Rust,NOASSERTION,MIT OR Apache-2.0,OS signal handler registration,PERMISSIVE - OK,72
yoke,0.8.1,Rust,NOASSERTION,Unicode-3.0,Zero-copy data borrowing framework (ICU4X),PERMISSIVE - OK,71
zerovec-derive,0.11.2,Rust,NOASSERTION,Unicode-3.0,Derive for zero-copy vectors (ICU4X),PERMISSIVE - OK,70
base64,0.22.1,Rust,NOASSERTION,MIT OR Apache-2.0,Base64 encoding/decoding,PERMISSIVE - OK,68
tokio,1.49.0,Rust,NOASSERTION,MIT,Async runtime for Rust,PERMISSIVE - OK,68
zerovec,0.11.5,Rust,NOASSERTION,Unicode-3.0,Zero-copy vector types (ICU4X),PERMISSIVE - OK,68
aho-corasick,1.1.4,Rust,NOASSERTION,MIT OR Unlicense,Multi-pattern string search algorithm,PERMISSIVE - OK,64
byteorder,1.5.0,Rust,NOASSERTION,MIT OR Unlicense,Big/little-endian byte order read/write,PERMISSIVE - OK,64
either,1.15.0,Rust,NOASSERTION,MIT OR Apache-2.0,Enum with Left/Right variants,PERMISSIVE - OK,64
toml,0.8.2,Rust,NOASSERTION,MIT OR Apache-2.0,TOML configuration file parser,PERMISSIVE - OK,64
litemap,0.8.1,Rust,NOASSERTION,Unicode-3.0,Sorted key-value map (ICU4X),PERMISSIVE - OK,63
tinystr,0.8.2,Rust,NOASSERTION,Unicode-3.0,Small string optimized for short text (ICU4X),PERMISSIVE - OK,63
tokio-macros,2.6.0,Rust,NOASSERTION,MIT,Proc-macros for tokio async runtime,PERMISSIVE - OK,63
tracing-core,0.1.36,Rust,NOASSERTION,MIT,Core primitives for application tracing,PERMISSIVE - OK,63
typing-extensions,4.15.0,Python,NOASSERTION,PSF-2.0,Backports of typing module features,PERMISSIVE - OK,63
writeable,0.6.2,Rust,NOASSERTION,Unicode-3.0,Efficient string writing trait (ICU4X),PERMISSIVE - OK,63
serde_spanned,0.6.8,Rust,NOASSERTION,MIT OR Apache-2.0,Serde support for spanned values,PERMISSIVE - OK,61
toml_datetime,0.6.3,Rust,NOASSERTION,MIT OR Apache-2.0,TOML datetime type,PERMISSIVE - OK,61
tracing-attributes,0.1.31,Rust,NOASSERTION,MIT,Attribute macros for tracing instrumentation,PERMISSIVE - OK,61
winnow,0.5.40,Rust,NOASSERTION,MIT,Streaming parser combinator library,PERMISSIVE - OK,61
block-buffer,0.10.4,Rust,NOASSERTION,MIT OR Apache-2.0,Fixed-size buffer for block processing,PERMISSIVE - OK,60
digest,0.10.7,Rust,NOASSERTION,MIT OR Apache-2.0,Traits for cryptographic hash functions,PERMISSIVE - OK,59
icu_provider,2.1.1,Rust,NOASSERTION,Unicode-3.0,Data provider for ICU4X internationalization,PERMISSIVE - OK,59
tracing,0.1.44,Rust,NOASSERTION,MIT,Application-level tracing framework,PERMISSIVE - OK,59
icu_collections,2.1.1,Rust,NOASSERTION,Unicode-3.0,Collection types for ICU4X,PERMISSIVE - OK,58
icu_properties_data,2.1.2,Rust,NOASSERTION,Unicode-3.0,Unicode property data for ICU4X,PERMISSIVE - OK,58
regex,1.12.3,Rust,NOASSERTION,MIT OR Apache-2.0,Regular expression engine,PERMISSIVE - OK,58
const-oid,0.9.6,Rust,NOASSERTION,MIT OR Apache-2.0,Const-friendly ASN.1 OID type,PERMISSIVE - OK,57
icu_normalizer_data,2.1.1,Rust,NOASSERTION,Unicode-3.0,Unicode normalization data for ICU4X,PERMISSIVE - OK,56
icu_properties,2.1.2,Rust,NOASSERTION,Unicode-3.0,Unicode property queries for ICU4X,PERMISSIVE - OK,56
spin,0.9.8,Rust,NOASSERTION,MIT,Spinlock-based synchronization primitives,PERMISSIVE - OK,56
windows-core,0.62.2,Rust,NOASSERTION,MIT OR Apache-2.0,Core Windows API support library,PERMISSIVE - OK,56
icu_normalizer,2.1.1,Rust,NOASSERTION,Unicode-3.0,Unicode text normalization (ICU4X),PERMISSIVE - OK,54
numpy,2.4.2,Python,NOASSERTION,BSD-3-Clause,Numerical computing with N-dimensional arrays,PERMISSIVE - OK,54
cpufeatures,0.2.17,Rust,NOASSERTION,MIT OR Apache-2.0,CPU feature detection at runtime,PERMISSIVE - OK,53
crossbeam-utils,0.8.21,Rust,NOASSERTION,MIT OR Apache-2.0,Concurrent programming utilities,PERMISSIVE - OK,53
utf8_iter,1.0.4,Rust,NOASSERTION,MIT OR Apache-2.0,UTF-8 byte iterator,PERMISSIVE - OK,53
valuable,0.1.1,Rust,NOASSERTION,MIT,Object-safe value inspection trait,PERMISSIVE - OK,53
idna_adapter,1.2.1,Rust,NOASSERTION,MIT OR Apache-2.0,IDNA adapter for URL processing,PERMISSIVE - OK,52
lazy_static,1.5.0,Rust,NOASSERTION,MIT OR Apache-2.0,Lazily initialized static variables,PERMISSIVE - OK,52
toml_edit,0.20.2,Rust,NOASSERTION,MIT OR Apache-2.0,Format-preserving TOML editor,PERMISSIVE - OK,51
futures-executor,0.3.31,Rust,NOASSERTION,MIT OR Apache-2.0,Executor for running futures,PERMISSIVE - OK,50
idna,1.1.0,Rust,NOASSERTION,MIT OR Apache-2.0,Internationalized domain name processing,PERMISSIVE - OK,50
http,0.2.12,Rust,NOASSERTION,MIT OR Apache-2.0,"HTTP types (request, response, headers)",PERMISSIVE - OK,49
itertools,0.14.0,Rust,NOASSERTION,MIT OR Apache-2.0,Extra iterator adaptors and methods,PERMISSIVE - OK,49
phf_shared,0.10.0,Rust,NOASSERTION,MIT,Shared code for perfect hash function maps,PERMISSIVE - OK,49
url,2.5.8,Rust,NOASSERTION,MIT OR Apache-2.0,URL parser (WHATWG standard),PERMISSIVE - OK,48
packaging,26,Python,NOASSERTION,Apache-2.0 OR BSD-2-Clause,Python package version utilities,PERMISSIVE - OK,47
num-integer,0.1.46,Rust,NOASSERTION,MIT OR Apache-2.0,Integer trait extensions and algorithms,PERMISSIVE - OK,46
idna,3.11,Python,NOASSERTION,BSD-3-Clause,Internationalized domain names support,PERMISSIVE - OK,44
nom,7.1.3,Rust,NOASSERTION,MIT,Parser combinator framework,PERMISSIVE - OK,44
rustc_version,0.4.1,Rust,NOASSERTION,MIT OR Apache-2.0,Query rustc compiler version,PERMISSIVE - OK,43
simd-adler32,0.3.8,Rust,NOASSERTION,MIT,SIMD-accelerated Adler-32 checksum,PERMISSIVE - OK,43
num-conv,0.2.0,Rust,NOASSERTION,MIT OR Apache-2.0,Numeric type conversions,PERMISSIVE - OK,42
phf_generator,0.8.0,Rust,NOASSERTION,MIT,Perfect hash function generator,PERMISSIVE - OK,42
proc-macro-crate,2.0.2,Rust,NOASSERTION,MIT OR Apache-2.0,Find crate names from proc-macros,PERMISSIVE - OK,42
iana-time-zone,0.1.65,Rust,NOASSERTION,MIT OR Apache-2.0,System IANA timezone detection,PERMISSIVE - OK,41
certifi,2026.2.25,Python,NOASSERTION,MPL-2.0,Mozilla CA certificate bundle for Python,WEAK COPYLEFT (MPL) - file-level copyleft only,40
libloading,0.8.9,Rust,NOASSERTION,ISC,Dynamic library loading (dlopen/LoadLibrary),PERMISSIVE - OK,40
powerfmt,0.2.0,Rust,NOASSERTION,MIT OR Apache-2.0,Power formatting utilities,PERMISSIVE - OK,40
pyyaml,6.0.3,Python,NOASSERTION,MIT,YAML parser and emitter for Python,PERMISSIVE - OK,40
strsim,0.11.1,Rust,NOASSERTION,MIT,"String similarity metrics (Levenshtein, etc.)",PERMISSIVE - OK,40
deranged,0.5.6,Rust,NOASSERTION,MIT OR Apache-2.0,Ranged integer types,PERMISSIVE - OK,39
icu_locale_core,2.1.1,Rust,NOASSERTION,Unicode-3.0,Locale data types for ICU4X,PERMISSIVE - OK,39
potential_utf,0.1.4,Rust,NOASSERTION,MIT OR Apache-2.0,Potentially-valid UTF-8/16 types,PERMISSIVE - OK,39
time-macros,0.2.27,Rust,NOASSERTION,MIT OR Apache-2.0,Proc-macros for the time crate,PERMISSIVE - OK,39
uuid,1.20.0,Rust,NOASSERTION,MIT OR Apache-2.0,UUID generation and parsing,PERMISSIVE - OK,39
zerotrie,0.2.3,Rust,NOASSERTION,Unicode-3.0,Zero-copy trie for ICU4X,PERMISSIVE - OK,39
target-lexicon,0.12.16,Rust,NOASSERTION,Apache-2.0 WITH LLVM-exception,Target triple parsing,PERMISSIVE - OK,38
urllib3,2.6.3,Python,NOASSERTION,MIT,HTTP client library with connection pooling,PERMISSIVE - OK,38
android_system_properties,0.1.5,Rust,NOASSERTION,MIT OR Apache-2.0,Android system property access,PERMISSIVE - OK,37
cfg-expr,0.15.8,Rust,NOASSERTION,MIT OR Apache-2.0,Cfg expression parser/evaluator,PERMISSIVE - OK,37
rustls-pki-types,1.14.0,Rust,NOASSERTION,MIT OR Apache-2.0,PKI types for Rustls TLS,PERMISSIVE - OK,37
version-compare,0.2.0,Rust,NOASSERTION,MIT,Semantic version comparison,PERMISSIVE - OK,37
web-time,1.1.0,Rust,NOASSERTION,MIT OR Apache-2.0,Cross-platform time (web + native),PERMISSIVE - OK,37
foreign-types-shared,0.1.1,Rust,NOASSERTION,MIT OR Apache-2.0,Shared FFI type wrappers,PERMISSIVE - OK,36
minimal-lexical,0.2.1,Rust,NOASSERTION,MIT OR Apache-2.0,Minimal float parsing,PERMISSIVE - OK,36
ring,0.17.14,Rust,NOASSERTION,ISC AND MIT AND OpenSSL,"Cryptographic operations (TLS, hashing, signing)",PERMISSIVE - OK,36
system-deps,6.2.2,Rust,NOASSERTION,MIT OR Apache-2.0,Declare native system library dependencies,PERMISSIVE - OK,36
untrusted,0.9.0,Rust,NOASSERTION,ISC,Safe handling of untrusted input,PERMISSIVE - OK,36
gio-sys,0.18.1,Rust,NOASSERTION,MIT,FFI bindings to GIO (links LGPL C library),PERMISSIVE binding to LGPL C library - OK if dynamically linked,35
glib-sys,0.18.1,Rust,NOASSERTION,MIT,FFI bindings to GLib (links LGPL C library),PERMISSIVE binding to LGPL C library - OK if dynamically linked,35
charset-normalizer,3.4.4,Python,NOASSERTION,MIT,Character encoding detection,PERMISSIVE - OK,34
foreign-types,0.3.2,Rust,NOASSERTION,MIT OR Apache-2.0,Safe wrappers for foreign types,PERMISSIVE - OK,34
requests,2.32.5,Python,NOASSERTION,Apache-2.0,HTTP library for Python,PERMISSIVE - OK,34
time,0.3.47,Rust,NOASSERTION,MIT OR Apache-2.0,Date and time library,PERMISSIVE - OK,34
bytemuck,1.25.0,Rust,NOASSERTION,Zlib OR MIT OR Apache-2.0,Safe transmutation of plain data types,PERMISSIVE - OK,33
gobject-sys,0.18.0,Rust,NOASSERTION,MIT,FFI bindings to GObject (links LGPL C library),PERMISSIVE binding to LGPL C library - OK if dynamically linked,33
